Generation 1: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 2: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 3: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 4: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 5: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 6: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 7: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 8: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 9: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 10: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 11: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 12: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 13: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 14: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 15: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 16: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 17: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 18: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 19: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 20: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 21: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 22: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 23: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 24: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 25: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 26: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 27: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 28: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 29: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Generation 30: best cost = 295, max weight = 269, best individual = [0 1 1 1 0 0 0 1 1 1]
Best subset of objects: [2, 3, 4, 8, 9, 10]
Total cost: 295
Total weight: 269
